#  Posterior distribution for f, given N = 10.0 radio-detected PBHs. PBH Mass: 100M_sun
# M_sunPrior: jeffreys
#  Columns: f, P(f|N)
# 
7.904927622696420267e-05 6.491674875879586580e+03
8.015006961565413965e-05 5.891999739750854133e+03
8.126619200091945365e-05 5.324878828169225926e+03
8.239785684528511741e-05 4.791316166374685054e+03
8.354528058382871408e-05 4.291945825635947585e+03
8.470868266557402936e-05 3.827042688465443916e+03
8.588828559546259111e-05 3.396538736302976758e+03
8.708431497690723578e-05 3.000044350608488912e+03
8.829699955494083421e-05 2.636874004023460657e+03
8.952657125996401179e-05 2.306075624362146755e+03
9.077326525210223113e-05 2.006462842117819946e+03
9.203731996618230639e-05 1.736649285831207180e+03
9.331897715733238812e-05 1.495084070243844053e+03
9.461848194721991974e-05 1.280087628806692919e+03
9.593608287093146887e-05 1.089887074900654852e+03
9.727203192450537027e-05 9.226503337420284652e+02
9.862658461312830713e-05 7.765183647848527926e+02
1.000000000000000048e-04 6.493062120228822778e+02
1.013925407558815276e-04 5.389971391477241696e+02
1.028044732093309733e-04 4.443096289597736472e+02
1.042360673976401179e-04 3.638668047622691688e+02
1.056875971184803998e-04 2.960015816286650647e+02
1.071593399822671198e-04 2.391535114908206197e+02
1.086515774652538379e-04 1.918782186041160571e+02
1.101645949633656949e-04 1.528532243337168381e+02
1.116986818467822557e-04 1.208804647354858588e+02
1.132541315152811519e-04 9.488586921680504815e+01
1.148312414543511137e-04 7.391641337219711261e+01
1.164303132920876748e-04 5.713508373347319491e+01
1.180516528568805612e-04 4.381419791897324245e+01
1.196955702359042841e-04 3.332751238095217161e+01
1.213623798344240533e-04 2.514152435824644982e+01
1.230524004359261579e-04 1.880633739084876055e+01
1.247659552630869643e-04 1.394641411548005294e+01
1.265033720395903835e-04 1.025148922464618551e+01
1.282649830528059917e-04 7.467862387259426526e+00
1.300511252173408420e-04 5.390238336312178191e+00
1.318621401394748458e-04 3.854231417445848518e+00
1.336983741824946607e-04 2.729606527856934584e+00
1.355601785329368979e-04 1.914288781830836061e+00
1.374479092677536609e-04 1.329141135385289108e+00
1.393619274224142113e-04 9.134829353198586910e-01
1.413025990599533599e-04 6.213027328699384233e-01
1.432702953409830901e-04 4.181052987577969504e-01
1.452653925946781202e-04 2.783248833189032601e-01
1.472882723907501770e-04 1.832335425570247867e-01
1.493393216124251827e-04 1.192738776058516748e-01
